Tarih,TUFE_Genel,Cekirdek_C,Hizmet,Mallar,Enerji,Kira,Beklenti_Piyasa,Beklenti_ReelSektor,Beklenti_Hanehalki,TUFE_Aylik_Pct,TUFE_Yillik_Pct,Cekirdek_Yillik_Pct,Hizmet_Yillik_Pct
2017-07-01,9.75,10.71,8.81,10.33,10.52,7.6,8.41,10.2,21.67,0.20554984583760483,9.79729729729728,9.621289662231325,9.305210918114138
2017-08-01,9.8,10.76,8.88,10.37,10.73,7.66,8.37,10.0,22.08,0.512820512820511,10.73446327683618,10.133060388945747,9.359605911330071
2017-09-01,9.86,10.86,8.97,10.42,10.87,7.74,8.35,10.1,22.79,0.6122448979591688,11.161217587373162,11.042944785276077,9.523809523809534
2017-10-01,10.07,11.11,9.01,10.72,11.06,7.8,8.52,10.3,23.58,2.129817444219073,12.013348164627358,11.770623742454722,9.610705596107039
2017-11-01,10.22,11.23,9.02,10.94,11.34,7.87,8.65,10.6,24.82,1.4895729890764597,13.053097345132759,12.075848303393233,9.466019417475714
2017-12-01,10.29,11.29,9.06,11.03,11.4,7.92,9.3,11.2,24.53,0.6849315068492956,11.969532100108804,12.22664015904571,9.55259975816205
2018-01-01,10.39,11.35,9.17,11.13,11.67,7.99,9.24,11.1,23.01,0.9718172983479212,10.297239915074318,12.265084075173105,9.166666666666657
2018-02-01,10.47,11.4,9.24,11.21,11.6,8.03,9.26,10.9,23.65,0.7699711260827691,10.326659641728142,11.874386653581958,9.34911242603551
2018-03-01,10.57,11.49,9.29,11.34,11.64,8.08,9.24,10.9,23.24,0.9551098376313183,10.21897810218979,11.44519883608146,9.165687426556989
2018-04-01,10.77,11.79,9.37,11.6,11.96,8.14,9.62,11.4,24.06,1.8921475875118166,10.916580844490209,12.178877259752618,9.207459207459202
2018-05-01,10.94,11.99,9.48,11.81,12.17,8.2,10.15,11.5,27.1,1.5784586815227541,12.090163934426235,12.582159624413137,9.468822170900705
2018-06-01,11.23,12.21,9.66,12.15,12.29,8.26,10.47,12.4,24.47,2.6508226691042136,15.41623843782116,14.540337711069418,11.03448275862069
2018-07-01,11.29,12.32,9.79,12.18,12.36,8.35,11.07,13.6,29.64,0.5342831700801298,15.794871794871778,15.032679738562083,11.123723041997714
2018-08-01,11.55,12.61,9.93,12.5,13.02,8.44,12.96,15.0,30.29,2.3029229406554608,17.85714285714286,17.19330855018586,11.82432432432432
2018-09-01,12.28,13.47,10.22,13.46,13.81,8.52,14.46,18.0,37.34,6.320346320346304,24.54361054766734,24.03314917127073,13.93534002229655
2018-10-01,12.61,13.82,10.34,13.89,14.32,8.59,17.03,22.1,43.94,2.687296416938101,25.22343594836145,24.3924392439244,14.761376248612645
2018-11-01,12.42,13.56,10.34,13.62,14.21,8.64,17.38,22.1,41.71,-1.5067406819984086,21.526418786692748,20.747996438112203,14.634146341463428
2018-12-01,12.37,13.5,10.37,13.53,13.77,8.68,16.46,20.3,41.79,-0.40257648953301306,20.213799805636533,19.57484499557132,14.459161147902865
2019-01-01,12.51,13.5,10.58,13.62,13.19,8.8,15.91,19.6,40.63,1.1317704122878025,20.404234841193446,18.942731277533053,15.376226826608509
2019-02-01,12.53,13.47,10.64,13.62,13.29,8.85,15.47,19.3,42.37,0.1598721023181371,19.675262655205337,18.157894736842106,15.15151515151516
2019-03-01,12.65,13.51,10.71,13.78,13.55,8.9,15.24,19.1,44.46,0.9577015163607427,19.678334910122985,17.58050478677111,15.285252960172247
2019-04-01,12.87,13.72,10.79,14.06,13.68,8.95,15.38,19.2,41.21,1.7391304347825987,19.498607242339826,16.36980491942326,15.154749199573114
2019-05-01,12.99,13.9,10.92,14.19,13.72,9.02,15.48,19.7,45.78,0.9324009324009452,18.73857404021939,15.92994161801502,15.189873417721511
2019-06-01,12.99,14.03,11.1,14.1,13.58,9.1,14.88,19.0,44.27,0.0,15.672306322350838,14.905814905814886,14.90683229813663
2019-07-01,13.17,14.32,11.21,14.31,13.98,9.2,13.9,18.0,43.27,1.385681293302543,16.651904340124002,16.23376623376622,14.504596527068458
2019-08-01,13.28,14.33,11.34,14.42,14.03,9.3,12.77,17.1,40.11,0.8352315869400107,14.978354978354957,13.639968279143533,14.199395770392753
2019-09-01,13.42,14.48,11.51,14.53,14.48,9.38,12.21,16.6,40.62,1.0542168674698926,9.283387622149842,7.498144023756503,12.62230919765166
2019-10-01,13.68,14.74,11.58,14.9,15.17,9.45,11.18,15.2,41.65,1.9374068554396384,8.485329103885796,6.657018813314042,11.992263056092845
2019-11-01,13.74,14.81,11.6,14.97,15.26,9.5,10.46,14.2,39.65,0.43859649122808264,10.6280193236715,9.218289085545717,12.185686653771754
2019-12-01,13.84,14.82,11.64,15.11,15.28,9.56,10.07,13.7,39.99,0.727802037845704,11.883589329021827,9.777777777777775,12.246865959498576
2020-01-01,14.03,14.84,11.87,15.27,15.45,9.67,9.54,13.1,38.36,1.3728323699421896,12.150279776179062,9.925925925925917,12.192816635160675
2020-02-01,14.07,14.81,11.97,15.29,15.36,9.74,9.61,13.0,40.07,0.28510334996436626,12.290502793296088,9.948032665181895,12.5
2020-03-01,14.15,14.92,12.04,15.38,14.88,9.8,9.51,13.2,40.32,0.5685856432125158,11.857707509881422,10.436713545521847,12.418300653594748
2020-04-01,14.28,15.08,12.06,15.55,14.13,9.84,9.7,13.5,40.18,0.9187279151943395,10.955710955710952,9.912536443148689,11.770157553290094
2020-05-01,14.47,15.33,12.15,15.81,14.44,9.88,9.2,12.9,39.02,1.3305322128851715,11.393379522709779,10.287769784172651,11.263736263736268
2020-06-01,14.63,15.66,12.4,15.92,14.81,9.94,9.03,12.8,39.56,1.1057360055286791,12.625096227867605,11.61796151104777,11.711711711711725
2020-07-01,14.72,15.79,12.54,15.98,15.18,10.04,9.33,12.9,39.61,0.6151742993848242,11.769172361427493,10.265363128491622,11.864406779661007
2020-08-01,14.85,15.91,12.68,16.1,15.38,10.13,9.7,13.1,38.64,0.8831521739130377,11.822289156626509,11.02581995812979,11.816578483245156
2020-09-01,14.99,16.12,12.75,16.29,15.46,10.2,10.15,13.3,40.05,0.9427609427609562,11.698956780923986,11.325966850828738,10.773240660295391
2020-10-01,15.31,16.43,12.84,16.74,15.78,10.28,10.53,13.5,41.24,2.1347565043362327,11.915204678362578,11.465400271370418,10.880829015544036
2020-11-01,15.66,16.78,12.92,17.24,15.91,10.36,10.77,14.1,43.4,2.286087524493796,13.973799126637543,13.301823092505071,11.379310344827598
2020-12-01,15.86,16.94,13.0,17.5,16.14,10.42,10.84,14.4,40.79,1.2771392081736943,14.595375722543347,14.304993252361676,11.683848797250862
